name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,main_node_id,poi_id,notes
,37587,5868813675,,,,,residential,0,120.5943157,31.3226246,,,
,37588,5868813677,,,,,residential,0,120.593968,31.3224072,,,
,37589,5868813678,,,,,residential,0,120.5940109,31.3220315,,,
,37590,5868813688,,,,,unclassified,0,120.6005958,31.3217536,,,
,37591,5868813692,,,,,unclassified,0,120.5917758,31.3160741,,,
,37592,5868813695,,,,,tertiary,0,120.5870689,31.3165756,,,
,37593,5868813696,,,,,secondary,0,120.6053583,31.3229516,,,
,37594,5868813697,,,,,secondary,0,120.6054665,31.3223952,,,
,37595,5868813698,,,,,residential,0,120.6046767,31.3223373,,,
,37596,5868813701,,,,,residential,0,120.6250972,31.3148439,,,
,37597,5868813704,,,,,residential,0,120.6330064,31.3031138,,,
,37598,5868813709,,,,,residential,0,120.6311113,31.2988773,,,
